Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_366:0000443,Dpod_E_day,,Trial evaluation,Growth,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000444,ShtFWT_Cp_g,,Trial evaluation,harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000445,Dbiom_Cp_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000446,SdDW_M_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000447,TotSdDW_M_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000448,TotPdDW_M_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000449,PdFWPP_M_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000450,TotDieFib_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000451,AvaCarb_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000452,MetEgy_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000453,Stch_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000454,LinAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000455,OleAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000456,PalAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000457,SteAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000458,BeheAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000459,AraAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000460,LigAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000461,AlphaLinAcid_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000462,TotN_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000463,TotS_M_g/100g,,Trial evaluation,Post-Harvest,,,SCU,Razlin Azman,2020-12-03 00:00:00,EN,Bambara groundnut
CO_366:0000464,TotPdFW_M_g,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000465,StomCduc_Cp_mmol,,Trial evaluation,Growth,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000466,CIsoDis_Cp_,,Trial evaluation,Growth,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000467,Del15N_ratio,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
CO_366:0000468,TotSdN_Ct,,Trial evaluation,Post-Harvest,,,UoN,Waikuanho,2019-10-30 00:00:00,EN,Bambara groundnut
